Time,Signal,BPM,Emotion,,,,,,,
10:43:29,497,57,16.66666667,10:54:42,504,60,23.33333333,,,
10:43:30,495,57,16.66666667,10:54:43,505,60,23.33333333,,,
10:43:31,494,57,13.33333333,10:54:44,507,60,23.33333333,,,
10:43:32,494,57,10,10:54:45,515,60,20,,,
10:43:33,495,57,10,10:54:46,516,60,20,,,
10:43:34,496,57,6.666666667,10:54:47,504,60,20,,,
10:43:35,497,57,6.666666667,10:54:48,503,60,20,,,
10:43:36,494,58,6.666666667,10:54:49,512,60,16.66666667,,,
10:43:37,493,58,6.666666667,10:54:50,503,61,13.33333333,,,
10:43:38,493,58,6.666666667,10:54:51,503,62,16.66666667,,,
10:43:39,493,59,10,10:54:52,504,62,13.33333333,,,
10:43:40,494,59,10,10:54:53,505,63,10,,,
10:43:41,495,60,10,10:54:54,530,65,10,,,
10:43:42,495,60,10,10:54:55,521,66,10,,,
10:43:43,495,60,6.666666667,10:54:56,520,66,10,,,
10:43:44,496,61,6.666666667,10:54:57,519,65,10,,,
10:43:45,515,61,6.666666667,10:54:58,507,65,6.666666667,,,
10:43:46,570,61,6.666666667,10:54:59,507,64,6.666666667,,,
10:43:47,581,61,6.666666667,10:55:00,505,64,6.666666667,,,
10:43:48,505,62,6.666666667,10:55:01,505,63,6.666666667,,,
10:43:49,471,62,6.666666667,10:55:02,504,62,6.666666667,,,
10:43:50,517,63,6.666666667,10:55:03,510,61,6.666666667,,,
10:43:51,484,63,6.666666667,10:55:04,511,62,10,,,
10:43:52,486,63,6.666666667,10:55:05,501,62,10,,,
10:43:53,496,64,6.666666667,10:55:06,504,63,10,,,
10:43:54,497,64,6.666666667,10:55:07,501,63,10,,,
10:43:55,496,64,6.666666667,10:55:08,501,64,10,,,
10:43:56,494,64,6.666666667,10:55:09,501,64,13.33333333,,,
10:43:57,492,63,6.666666667,10:55:10,500,63,13.33333333,,,
10:43:58,493,64,6.666666667,10:55:11,500,63,16.66666667,,,
10:43:59,508,64,10,10:55:12,500,63,16.66666667,,,
10:44:00,619,64,10,10:55:13,500,63,16.66666667,,,
10:44:01,497,63,10,10:55:14,498,62,20,,,
10:44:02,477,63,10,10:55:15,499,61,20,,,
10:44:03,493,63,10,10:55:16,539,61,20,,,
10:44:04,516,64,10,10:55:17,510,63,23.33333333,,,
10:44:05,490,64,10,10:55:18,492,64,23.33333333,,,
10:44:06,481,65,10,10:55:19,502,64,26.66666667,,,
10:44:07,494,65,10,10:55:20,503,64,30,,,
10:44:08,493,65,10,10:55:21,508,63,30,,,
10:44:09,492,64,10,10:55:22,510,63,30,,,
10:44:10,490,64,10,10:55:23,504,63,33.33333333,,,
10:44:11,492,64,10,10:55:24,501,64,33.33333333,,,
10:44:12,493,64,6.666666667,10:55:25,505,64,36.66666667,,,
10:44:13,521,64,6.666666667,10:55:26,505,64,36.66666667,,,
10:44:14,618,63,6.666666667,10:55:27,503,62,40,,,
10:44:15,542,63,6.666666667,10:55:28,512,62,40,,,
10:44:16,472,63,6.666666667,10:55:29,532,64,40,,,
10:44:17,485,63,6.666666667,10:55:30,505,65,40,,,
10:44:18,508,63,6.666666667,10:55:31,503,65,40,,,
10:44:19,512,63,6.666666667,10:55:32,511,65,40,,,
10:44:20,516,63,6.666666667,10:55:33,515,65,40,,,
10:44:21,480,63,6.666666667,10:55:34,508,65,36.66666667,,,
10:44:22,488,64,10,10:55:35,498,64,36.66666667,,,
10:44:23,498,64,10,10:55:36,496,64,36.66666667,,,
10:44:24,506,64,10,10:55:37,500,64,36.66666667,,,
10:44:25,578,65,13.33333333,10:55:38,501,64,36.66666667,,,
10:44:26,481,66,13.33333333,10:55:39,499,64,36.66666667,,,
10:44:27,510,66,13.33333333,10:55:40,501,64,36.66666667,,,
10:44:28,509,66,13.33333333,10:55:41,502,63,36.66666667,,,
10:44:29,491,67,13.33333333,10:55:42,502,63,40,,,
10:44:30,490,67,13.33333333,10:55:43,501,62,40,,,
10:44:31,499,67,13.33333333,10:55:44,502,62,36.66666667,,,
10:44:32,571,68,13.33333333,10:55:45,502,61,36.66666667,,,
10:44:33,510,69,16.66666667,10:55:46,501,61,36.66666667,,,
10:44:34,498,70,16.66666667,10:55:47,522,62,36.66666667,,,
10:44:35,501,71,16.66666667,10:55:48,533,61,33.33333333,,,
10:44:36,540,72,20,10:55:49,535,61,30,,,
10:44:37,492,72,23.33333333,10:55:50,532,61,26.66666667,,,
10:44:38,494,72,26.66666667,10:55:51,521,61,23.33333333,,,
10:44:39,515,72,23.33333333,10:55:52,508,63,26.66666667,,,
10:44:40,495,71,23.33333333,10:55:53,504,64,26.66666667,,,
10:44:41,502,70,26.66666667,10:55:54,505,64,26.66666667,,,
10:44:42,500,69,26.66666667,10:55:55,501,64,26.66666667,,,
10:44:43,497,67,30,10:55:56,502,65,26.66666667,,,
10:44:44,564,67,30,10:55:57,512,65,26.66666667,,,
,,,,10:55:58,500,67,26.66666667,,,
,,,,10:55:59,504,69,30,,,
,,,,10:56:00,505,70,33.33333333,,,
,,,,10:56:01,507,69,33.33333333,,,
