Time,Signal,BPM,Emotion,,,,,,
14:51:36,498,61,16.66666667,502,63,43.33333333,,,
14:51:37,498,61,16.66666667,504,63,40,,,
14:51:38,546,62,13.33333333,504,63,40,,,
14:51:39,498,63,16.66666667,502,62,40,,,
14:51:40,508,63,16.66666667,504,61,40,,,
14:51:41,507,63,20,504,61,40,,,
14:51:42,499,63,23.33333333,502,61,36.66666667,,,
14:51:43,501,64,23.33333333,502,61,36.66666667,,,
14:51:44,501,64,23.33333333,501,61,33.33333333,,,
14:51:45,503,65,20,502,61,30,,,
14:51:46,504,66,20,501,61,30,,,
14:51:47,505,65,23.33333333,501,61,30,,,
14:51:48,505,65,23.33333333,502,60,26.66666667,,,
14:51:49,526,64,23.33333333,504,61,26.66666667,,,
14:51:50,547,64,20,503,61,26.66666667,,,
14:51:51,497,64,16.66666667,508,61,26.66666667,,,
14:51:52,511,65,16.66666667,509,62,30,,,
14:51:53,502,66,16.66666667,514,62,30,,,
14:51:54,499,65,16.66666667,533,62,30,,,
14:51:55,501,65,20,530,62,30,,,
14:51:56,504,65,20,527,62,26.66666667,,,
14:51:57,504,64,23.33333333,518,62,23.33333333,,,
14:51:58,504,65,23.33333333,500,62,20,,,
14:51:59,506,66,26.66666667,509,62,20,,,
14:52:00,543,65,26.66666667,509,62,16.66666667,,,
14:52:01,549,64,30,509,62,16.66666667,,,
14:52:02,559,63,30,510,62,16.66666667,,,
14:52:03,560,62,30,506,62,13.33333333,,,
14:52:04,566,62,30,506,62,16.66666667,,,
14:52:05,570,62,30,507,62,20,,,
14:52:06,539,62,30,505,62,20,,,
14:52:07,531,61,33.33333333,505,62,20,,,
14:52:08,527,61,30,506,62,20,,,
14:52:09,501,61,30,504,61,16.66666667,,,
14:52:10,496,61,26.66666667,504,61,16.66666667,,,
14:52:11,498,61,23.33333333,506,61,16.66666667,,,
14:52:12,500,61,23.33333333,517,64,20,,,
14:52:13,514,61,23.33333333,501,66,23.33333333,,,
14:52:14,502,62,26.66666667,543,70,23.33333333,,,
14:52:15,500,62,26.66666667,507,72,23.33333333,,,
14:52:16,500,62,23.33333333,499,73,23.33333333,,,
14:52:17,503,62,23.33333333,523,79,26.66666667,,,
14:52:18,501,62,23.33333333,535,79,30,,,
14:52:19,501,62,23.33333333,504,78,30,,,
14:52:20,507,62,23.33333333,508,76,30,,,
14:52:21,527,65,23.33333333,503,74,30,,,
14:52:22,506,71,23.33333333,,,,,,
14:52:23,501,76,26.66666667,,,,,,
