Time,Signal,BPM,Emotion,,,,,,,,
10:22:48,539,63,33.33333333,,10:29:10,514,77,30,,,
10:22:49,549,64,36.66666667,,10:29:11,502,79,30,,,
10:22:50,526,64,36.66666667,,10:29:12,502,80,26.66666667,,,
10:22:51,491,64,36.66666667,,10:29:13,504,79,30,,,
10:22:52,512,65,33.33333333,,10:29:14,502,77,30,,,
10:22:53,496,65,33.33333333,,10:29:15,500,75,30,,,
10:22:54,502,65,30,,10:29:16,500,72,30,,,
10:22:55,501,66,30,,10:29:17,502,69,30,,,
10:22:56,500,65,30,,10:29:18,504,67,30,,,
10:22:57,539,66,26.66666667,,10:29:19,504,66,30,,,
10:22:58,557,66,23.33333333,,10:29:20,506,64,30,,,
10:22:59,496,66,20,,10:29:21,546,62,30,,,
10:23:00,511,67,23.33333333,,10:29:22,515,63,30,,,
10:23:01,495,67,23.33333333,,10:29:23,511,64,30,,,
10:23:02,500,68,23.33333333,,10:29:24,502,65,30,,,
10:23:03,548,68,23.33333333,,10:29:25,496,66,30,,,
10:23:04,493,69,23.33333333,,10:29:26,502,66,30,,,
10:23:05,512,69,23.33333333,,10:29:27,500,67,26.66666667,,,
10:23:06,494,70,26.66666667,,10:29:28,500,67,23.33333333,,,
10:23:07,501,71,23.33333333,,10:29:29,554,67,26.66666667,,,
10:23:08,552,72,26.66666667,,10:29:30,495,67,30,,,
10:23:09,512,73,26.66666667,,10:29:31,515,67,30,,,
10:23:10,501,74,26.66666667,,10:29:32,492,68,26.66666667,,,
10:23:11,500,74,26.66666667,,10:29:33,564,70,23.33333333,,,
10:23:12,531,72,30,,10:29:34,508,72,26.66666667,,,
10:23:13,545,72,33.33333333,,10:29:35,513,74,26.66666667,,,
10:23:14,494,72,33.33333333,,10:29:36,486,78,26.66666667,,,
10:23:15,492,72,30,,10:29:37,495,79,26.66666667,,,
10:23:16,567,74,33.33333333,,10:29:38,498,78,23.33333333,,,
10:23:17,513,74,36.66666667,,10:29:39,502,77,23.33333333,,,
10:23:18,492,73,36.66666667,,10:29:40,504,76,23.33333333,,,
